Geolocation,Industry Description,Metric,2013,2015,2017,ADM1_CODE
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer consultancy and computer facilities management activities,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with web presence,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Computer programming activities,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with web presence,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Customer relationship management activities,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with web presence,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Data processing,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with web presence,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Document processes activities,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Employees using computer routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Employees using computer with internet connection routinely at work,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for completing forms on-line or sending completed forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for downloading or requesting government forms,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for finance accounting and auditing,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for internal or external recruitment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for making on-line payments to government corporations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for obtaining information from government organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for obtaining information from other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for sending or receiving e-mails,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for sharing or distribution of information with other organizations,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for sharing or distribution of information within the establishment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments which used the internet for staff training,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with Social Media Account,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with business transaction via cellular mobile phone/ smartphone,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with computers and communication equipment,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with e-commerce via network channels other than the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with e-commerce via the internet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with extranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with internet access,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with intranet,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with web presence,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with wide area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with wired local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Establishments with wireless local area network,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Number of employees,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Engineering outsourcing activities,Number of establishments,,,,PH150000000
Autonomous Region in Muslim Mindanao (ARMM),Finance and accounting activities,Employees using computer routinely at work,,,,PH150000000
