"Agricultural Wage Rates of Farm Workers by Type of Wages, Type of Farm Workers, Geolocation, Year and Sex"

"Type of Wages","Type of Farm Workers","Geolocation","1975 ..Male","1975 ..Female","1976 ..Male","1976 ..Female","1977 ..Male","1977 ..Female","1978 ..Male","1978 ..Female","1979 ..Male","1979 ..Female","1980 ..Male","1980 ..Female","1981 ..Male","1981 ..Female","1982 ..Male","1982 ..Female","1983 ..Male","1983 ..Female","1984 ..Male","1984 ..Female","1985 ..Male","1985 ..Female","1986 ..Male","1986 ..Female","1987 ..Male","1987 ..Female","1988 ..Male","1988 ..Female","1989 ..Male","1989 ..Female","1990 ..Male","1990 ..Female","1991 ..Male","1991 ..Female","1992 ..Male","1992 ..Female","1993 ..Male","1993 ..Female","1994 ..Male","1994 ..Female","1995 ..Male","1995 ..Female","1996 ..Male","1996 ..Female","1997 ..Male","1997 ..Female","1998 ..Male","1998 ..Female","1999 ..Male","1999 ..Female","2000 ..Male","2000 ..Female","2001 ..Male","2001 ..Female","2002 ..Male","2002 ..Female","2003 ..Male","2003 ..Female","2004 ..Male","2004 ..Female","2005 ..Male","2005 ..Female","2006 ..Male","2006 ..Female","2007 ..Male","2007 ..Female","2008 ..Male","2008 ..Female","2009 ..Male","2009 ..Female","2010 ..Male","2010 ..Female","2011 ..Male","2011 ..Female","2012 ..Male","2012 ..Female","2013 ..Male","2013 ..Female","2014 ..Male","2014 ..Female","2015 ..Male","2015 ..Female","2016 ..Male","2016 ..Female","2017 ..Male","2017 ..Female","2018 ..Male","2018 ..Female","2019 ..Male","2019 ..Female"
"Nominal Wage Rate","..Palay Workers","..Region VIII (Eastern Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74.07,66.12,82.46,75.72,96.23,87.93,101.27,84.99,120.09,91.57,122.29,98.96,126.31,106.13,128.08,109.67,129.96,110.73,128.69,120.91,130.56,123.51,136.66,128.26,142.36,136.73,155.79,157.33,167.41,164.12,168.10,164.58,176.43,168.11,184.84,173.70,187.82,180.51,195.92,192.26,214.85,211.34,237.75,231.66,248.17,244.05,266.32,218.11,284.20,263.75,317.01,310.39
"Nominal Wage Rate","..Palay Workers","..Western Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78.89,77.94,88.46,87.23,94.77,96.04,104.75,112.95,110.08,116.71,122.00,118.84,120.32,113.00,124.49,118.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Palay Workers","..Region IX (Zamboanga Peninsula)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,130.69,124.17,134.71,122.38,134.64,125.11,143.82,133.72,155.18,148.13,170.37,166.80,184.42,178.94,195.46,191.86,203.67,198.39,221.80,218.06,235.43,229.70,242.53,235.05,254.16,246.14,273.06,263.25,275.28,264.76,271.78,273.63,300.65,293.35,334.05,300.41
"Nominal Wage Rate","..Palay Workers","..Region X (Northern Mindanao)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86.52,83.59,96.37,91.10,104.33,113.16,142.00,149.67,150.42,139.28,149.98,152.17,146.58,141.01,148.48,142.57,155.14,139.31,153.41,142.12,153.62,141.44,154.50,145.94,162.36,160.62,177.81,175.99,207.36,201.41,209.25,203.42,212.36,208.32,225.09,226.57,234.34,220.45,242.70,228.70,266.05,250.08,284.30,265.96,288.23,271.39,302.26,282.90,315.95,285.12,345.07,328.06
"Nominal Wage Rate","..Palay Workers","..Southern Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.82,80.64,99.11,88.79,105.01,89.86,107.90,104.04,110.22,107.33,108.69,120.46,112.24,116.26,117.80,118.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Palay Workers","..Region XI (Davao Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129.68,114.71,139.84,130.71,144.36,135.20,165.13,142.68,169.49,160.45,177.89,175.17,192.53,190.69,202.13,195.66,211.98,211.55,233.98,228.64,245.19,241.37,255.20,237.39,275.83,264.27,293.18,285.53,316.64,291.65,330.65,280.24,335.45,315.05,371.19,340.70
"Nominal Wage Rate","..Palay Workers","..Central Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.17,78.23,106.61,99.36,124.59,108.23,138.88,134.25,144.18,131.22,140.83,131.36,142.54,129.19,144.74,132.79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Palay Workers","..Region XII (SOCCSKSARGEN)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,169.68,147.80,157.67,151.16,157.19,150.69,159.78,148.74,163.65,157.59,178.18,166.32,198.55,182.32,206.50,193.80,222.13,209.84,241.16,230.91,256.61,244.39,272.68,236.44,292.04,262.20,310.95,275.83,313.37,278.42,288.71,260.98,336.80,296.33,370.24,321.00
"Nominal Wage Rate","..Palay Workers","..Region XIII (Caraga)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86.72,81.27,100.71,89.44,101.85,93.47,106.37,120.12,122.64,117.97,120.92,108.38,130.12,116.46,135.70,119.55,136.80,122.29,141.02,135.43,150.65,142.68,162.86,151.35,171.63,156.81,171.96,165.66,191.23,184.47,211.56,204.77,234.58,224.07,253.18,239.83,259.95,243.72,277.72,264.69,301.91,288.72,325.15,314.91,326.37,315.63,351.15,360.31,353.94,356.53,356.25,356.70
"Nominal Wage Rate","..Palay Workers","..Autonomous Region in Muslim Mindanao (ARMM)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82.67,78.33,103.40,96.72,119.73,111.30,122.69,113.93,136.51,108.68,139.14,117.15,131.10,117.99,132.97,121.85,142.90,124.72,152.59,136.93,166.18,151.16,176.82,159.79,182.80,164.82,177.11,176.65,199.79,197.53,207.98,206.20,219.19,217.31,241.07,238.98,249.46,245.14,256.43,254.19,273.54,272.01,289.04,283.31,293.50,298.21,260.68,289.64,264.12,268.70,270.46,301.78
"Nominal Wage Rate","..Corn Workers","..Cordillera Administrative Region (CAR)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83.46,72.44,90.55,83.42,103.24,99.00,117.23,111.27,126.63,116.25,144.87,119.59,145.64,120.85,143.21,116.69,165.21,126.00,156.62,139.74,156.37,143.36,173.69,146.25,177.12,154.89,182.68,170.20,203.52,191.75,219.71,214.62,225.12,218.27,233.23,228.13,246.75,242.24,252.84,247.98,284.56,260.03,304.41,273.98,285.00,266.25,251.16,225.59,284.49,244.61,294.84,256.10
"Nominal Wage Rate","..Corn Workers","..Region I (Ilocos Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82.20,75.82,95.84,81.98,104.99,94.49,108.98,96.89,114.48,102.98,134.18,125.04,132.42,125.19,133.39,122.66,128.75,117.14,136.81,122.16,146.24,134.04,162.25,141.79,166.32,153.14,175.17,164.85,189.46,186.32,204.47,197.05,219.52,197.35,226.00,214.11,227.33,213.75,262.44,240.08,273.85,244.33,279.65,253.95,281.32,268.23,291.95,240.79,307.22,257.75,317.44,299.44
"Nominal Wage Rate","..Corn Workers","..Region II (Cagayan Valley)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87.29,64.91,93.69,73.69,93.81,82.45,101.65,77.52,97.42,82.09,122.53,99.28,121.22,108.80,125.09,107.51,118.37,105.00,132.75,117.32,139.39,128.01,147.20,132.88,154.52,146.84,162.27,157.62,187.29,185.11,189.99,186.36,198.53,195.42,218.61,211.16,223.69,221.38,258.69,240.45,276.59,272.34,288.54,279.01,283.46,280.67,229.28,204.33,262.86,250.00,317.68,300.22
"Nominal Wage Rate","..Corn Workers","..Region III (Central Luzon)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.73,70.93,102.77,75.28,102.63,69.00,133.43,80.84,147.95,95.02,157.84,102.50,145.64,109.29,147.30,118.71,164.07,112.95,161.31,134.58,170.30,147.60,177.39,168.98,189.00,191.15,206.38,206.87,229.03,219.85,231.96,235.59,237.61,242.50,254.62,..,276.40,..,325.87,..,341.87,..,373.75,230.32,306.41,283.36,321.01,300.08,316.66,288.03,350.94,305.65
"Nominal Wage Rate","..Corn Workers","..Southern Tagalog",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.99,77.30,109.24,83.50,126.65,94.75,130.59,109.17,133.79,117.69,134.22,119.08,133.66,121.12,134.50,115.12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Corn Workers","..Region IV-A (CALABARZON)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,144.62,100.06,147.81,..,170.30,119.96,176.11,..,182.02,153.85,184.53,..,198.03,179.62,213.72,216.50,215.79,201.84,230.74,215.00,231.19,..,252.82,225.94,292.92,258.13,301.17,264.81,302.36,292.18,330.01,318.42,357.54,361.63,391.97,384.55
"Nominal Wage Rate","..Corn Workers","..MIMAROPA Region",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,103.65,95.15,121.64,105.27,141.42,112.97,156.25,121.78,162.05,130.49,165.27,154.31,180.45,173.50,196.50,184.46,207.22,199.18,215.81,205.37,219.56,199.03,242.58,199.29,247.00,226.31,259.72,230.21,262.23,237.08,235.17,229.50,254.58,245.29,305.15,274.23
"Nominal Wage Rate","..Corn Workers","..Region V (Bicol Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72.01,60.18,79.54,67.87,87.00,75.42,85.72,77.78,90.17,81.30,118.29,89.23,115.89,89.60,118.48,90.16,116.19,82.58,117.36,96.85,118.88,101.95,126.73,116.36,138.14,131.13,141.96,136.80,153.22,151.55,157.63,156.16,160.35,156.61,172.87,166.95,175.47,169.49,207.99,195.89,217.93,210.98,233.59,218.70,248.77,234.99,249.73,227.80,276.79,249.44,301.38,260.21
"Nominal Wage Rate","..Corn Workers","..Region VI (Western Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69.75,55.00,84.99,66.89,91.32,73.52,95.26,76.77,92.40,78.76,108.92,86.80,106.49,91.73,110.48,88.52,116.52,95.02,124.62,104.72,130.13,110.58,140.12,125.74,150.95,138.27,158.08,151.36,169.07,164.87,171.00,169.76,172.40,175.48,182.75,179.94,184.50,181.83,203.97,196.21,215.49,204.81,219.75,210.02,221.93,225.98,270.80,222.87,277.17,236.20,280.14,263.60
"Nominal Wage Rate","..Corn Workers","..Region VII (Central Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64.80,59.58,77.07,67.81,75.53,81.33,78.29,85.04,84.46,81.44,95.96,87.35,99.21,87.24,99.91,87.40,102.25,85.54,107.17,91.44,118.73,108.53,127.70,125.82,138.87,131.15,141.25,138.79,147.68,143.75,150.39,147.79,155.98,150.13,170.02,160.53,175.05,165.74,177.82,173.03,191.17,189.96,211.59,195.45,219.52,203.41,228.49,225.86,261.89,228.02,271.37,242.16
"Nominal Wage Rate","..Corn Workers","..Region VIII (Eastern Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65.99,60.38,72.95,69.65,81.72,72.46,85.03,77.62,94.82,75.87,95.13,82.01,96.76,90.92,100.69,90.05,96.39,89.63,102.98,90.03,123.18,99.98,129.97,113.97,135.50,123.79,136.22,131.78,141.69,139.92,144.27,143.08,149.60,147.88,164.99,159.29,167.56,160.73,181.37,167.13,192.84,183.18,247.76,214.82,244.07,223.65,224.36,217.00,233.92,264.15,282.61,274.85
"Nominal Wage Rate","..Corn Workers","..Western Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74.97,67.94,81.83,75.28,82.87,85.77,89.59,82.79,96.75,97.75,121.22,90.81,118.39,90.01,119.08,90.75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Corn Workers","..Region IX (Zamboanga Peninsula)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,113.88,91.70,115.44,103.39,127.65,116.91,134.16,124.26,139.58,135.62,146.16,144.73,150.99,148.80,152.56,151.30,155.56,157.46,173.87,168.16,181.93,174.46,198.46,184.71,213.03,187.95,219.05,207.56,220.96,209.91,213.96,210.78,247.59,220.55,253.46,239.13
"Nominal Wage Rate","..Corn Workers","..Region X (Northern Mindanao)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.01,77.37,89.82,85.84,95.27,84.62,102.45,85.94,104.41,95.34,120.51,105.08,118.39,103.90,117.81,100.75,117.63,106.93,121.14,114.54,129.59,123.03,139.17,142.07,146.71,144.01,153.36,150.98,170.71,164.69,173.51,165.47,174.29,165.99,183.09,177.47,184.95,180.35,191.77,186.62,196.59,192.15,200.89,196.23,203.07,200.92,219.54,230.95,224.82,223.16,252.76,252.37
"Nominal Wage Rate","..Corn Workers","..Southern Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75.21,71.96,88.78,82.09,81.97,78.14,84.62,84.71,91.62,82.66,114.17,95.40,108.96,88.78,108.15,90.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Corn Workers","..Region XI (Davao Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,109.53,95.42,112.36,104.02,125.76,122.18,136.65,130.90,141.60,137.20,143.36,142.83,155.17,152.58,155.99,152.99,160.55,154.80,170.87,165.74,176.42,168.84,179.26,167.38,189.98,181.08,199.46,184.16,206.82,198.02,243.84,247.71,257.89,257.65,296.38,293.82
"Nominal Wage Rate","..Corn Workers","..Central Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91.19,77.28,111.48,83.35,105.89,72.45,107.78,88.14,116.95,87.14,134.48,108.52,123.81,99.40,124.23,100.53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Corn Workers","..Region XII (SOCCSKSARGEN)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,133.78,107.33,127.05,112.84,133.17,117.90,138.70,129.60,141.42,135.04,142.00,136.72,150.50,145.59,154.14,151.51,159.77,156.87,175.64,167.47,179.39,174.60,193.08,195.94,213.70,206.68,218.78,217.43,223.13,217.58,217.03,207.26,239.69,227.81,260.18,240.87
"Nominal Wage Rate","..Corn Workers","..Region XIII (Caraga)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77.78,67.56,91.85,82.51,93.66,84.70,90.69,89.14,108.39,95.05,118.27,115.16,128.44,111.05,130.45,113.10,139.96,117.24,138.76,122.67,148.71,135.04,154.81,145.51,156.61,148.34,157.41,149.21,173.61,165.40,176.98,169.49,186.52,181.69,193.79,188.52,207.88,203.88,233.93,219.12,259.54,242.09,271.45,258.79,266.63,246.32,254.97,249.43,299.81,281.59,307.20,306.53
"Nominal Wage Rate","..Corn Workers","..Autonomous Region in Muslim Mindanao (ARMM)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75.46,75.83,95.56,92.47,106.70,86.32,118.52,106.25,124.21,117.91,147.65,139.48,138.10,112.07,139.08,113.69,135.42,109.47,138.45,123.01,156.56,145.00,163.54,155.00,165.42,158.24,165.92,160.54,176.50,172.82,187.73,190.18,190.50,194.12,205.98,203.48,209.09,206.03,224.78,215.22,241.05,224.25,256.92,237.99,249.72,237.42,230.64,240.81,240.83,232.52,243.86,248.95
"Nominal Wage Rate","..Coconut Workers","..Cordillera Administrative Region (CAR)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Coconut Workers","..Region I (Ilocos Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100.86,90.80,105.94,94.35,116.54,..,124.00,100.85,130.00,..,152.86,..,167.41,100.00,168.38,..,172.68,..,162.76,..,164.16,..,180.17,..,185.55,..,185.79,..,214.57,..,215.13,..,217.73,..,221.40,..,254.15,..,328.73,..,329.36,..,336.18,..,337.58,..,274.69,..,267.49,..,345.88,..
